万那杜	瓦努阿图
义大利	意大利
乌兹别克	乌兹别克斯坦
乔治亚	格鲁吉亚
亚塞拜然	阿塞拜疆
傅立叶	傅里叶
克罗埃西亚	克罗地亚
几内亚比索	几内亚比绍
列支敦斯登	列支敦士登
加彭	加蓬
千里达及托巴哥	特立尼达和多巴哥
卡达	卡塔尔
卢安达	卢旺达
厄利垂亚	厄立特里亚
厄瓜多	厄瓜多尔
史瓦济兰	斯威士兰
叶门	也门
吉布地	吉布堤
吉里巴斯	基里巴斯
吐瓦鲁	图瓦卢
哈萨克	哈萨克斯坦
哥斯大黎加	哥斯达黎加
土库曼	土库曼斯坦
圣克里斯多福及尼维斯	圣基茨和尼维斯
圣文森及格瑞那丁	圣文森特和格林纳丁斯
圣露西亚	圣卢西亚
圣马利诺	圣马力诺
坦尚尼亚	坦桑尼亚
塔吉克	塔吉克斯坦
塞席尔	塞舌尔
塞普勒斯	塞浦路斯
夏农	香农
多明尼加	多米尼加
奈及利亚	尼日利亚
安地卡及巴布达	安提瓜和巴布达
宏都拉斯	洪都拉斯
寮国	老挝
尚比亚	赞比亚
尤拉	欧拉
尼日	尼日尔
巴布亚纽几内亚	巴布亚新几内亚
巴贝多	巴巴多斯
布吉纳法索	布基纳法索
帛琉	帕劳
快捷半导体	仙童半导体
斯洛维尼亚	斯洛文尼亚
查德	乍得
格瑞那达	格林纳达
模里西斯	毛里求斯
汶莱	文莱
沙乌地阿拉伯	沙特阿拉伯
波士尼亚赫塞哥维纳	波斯尼亚黑塞哥维那
波札那	博茨瓦纳
狮子山	塞拉利昂
瓜地马拉	危地马拉
甘比亚	冈比亚
盖亚那	圭亚那
突尼西亚	突尼斯
索罗门羣岛	所罗门羣岛
索马利亚	索马里
纽西兰	新西兰
维德角	佛得角
肯亚	肯尼亚
苏利南	苏里南
茅利塔尼亚	毛里塔尼亚
莫三比克	莫桑比克
葛摩	科摩罗
蒲隆地	布隆迪
衣索比亚	埃塞俄比亚
诺鲁	瑙鲁
象牙海岸	科特迪瓦
贝南	贝宁
贝里斯	伯利兹
赖比瑞亚	利比里亚
赖索托	莱索托
辛巴威	津巴布韦
迦纳	加纳
那杜	温纳图万
阿拉伯联合大公国	阿拉伯联合酋长国
马利共和国	马里共和国
马尔地夫	马尔代夫
