㑮	𫝈
㑯	㑔
㑳	㑇
㑶	㐹
㒓	𠉂
㒣	𬾖
㓄	𪠟
㓨	刾
㔃	𫦌
㔅	𫦅
㔋	𪟎
㔝	𫦩
㔢	𫦳
㖮	𪠵
㗙	𫩩
㗣	𫪺
㗲	𠵾
㗻	𫪀
㗼	𫩤
㗿	𪡛
㘉	𠰱
㘓	𪢌
㘔	㗷
㘙	𫪂
㘚	㘎
㛝	𫝦
㜄	㚯
㜏	㛣
㜐	𫝧
㜗	𡞋
㜢	𡞱
㜥	𫰨
㜩	𪦂
㜭	𫰠
㜮	𫱕
㜷	𡝠
㜺	𫲗
㝞	𫳃
㞞	𪨊
㟺	𪩇
㠁	𫶅
㠏	㟆
㠣	𫵷
㡓	𫷅
㢗	𪪑
㢝	𢋈
㤲	𫺁
㥮	㤘
㦎	𢛯
㦐	𭜚
㦖	𫺓
㦛	𢗓
㦞	𪫷
㦦	𫻁
㦭	𭝋
㨟	𫼥
㨥	𫽀
㨻	𪮃
㩋	𪮋
㩌	𫽧
㩜	㨫
㩭	𫽊
㩳	㧐
㩵	擜
㪎	𪯋
㪹	𬖠
㪻	𫿳
㬣	𬀮
㯤	𣘐
㰅	𭫙
㰍	𬺜
㰙	𣗙
㰰	𬅢
㰳	𭭈
㵍	𬇰
㵒	𬈕
㵗	𣳆
㵾	𪷍
㶆	𫞛
㷍	𤆢
㷻	𭴊
㷿	𤈷
㸇	𤎺
㸊	𬋍
㸐	𬊾
㹂	𬌛
㹽	𫞣
㺏	𤠋
㺑	𬌷
㺜	𪺻
㻶	𪼋
㼂	𭸼
㼆	𬎆
㼈	𭹜
㾵	𬏟
㾺	𬏜
㿎	𬏷
㿖	𪽮
㿗	𤻊
㿧	𤽯
䀉	𥁢
䀹	𥅴
䁪	𥇢
䁱	𬑒
䁻	䀥
䂎	𥎝
䃘	𬒎
䃤	𬒕
䃮	鿎
䅐	𫀨
䅳	𫀬
䆉	𫁂
䉍	𬕊
䉑	𫁲
䉙	𥬀
䉬	𫂈
䉱	𬕦
䉲	𥮜
䉶	𫁷
䊭	𥺅
䊲	𬡻
䊵	𮉠
䊷	䌶
䊺	𫄚
䋃	𫄜
䋎	𬘜
䋏	𮉣
䋐	𬘙
䋔	𫄞
䋙	䌺
䋚	䌻
䋞	𮉦
䋦	𫄩
䋹	䌿
䋺	𬘴
䋻	䌾
䋼	𫄮
䋾	𬘲
䋿	𦈓
䌁	𬘱
䌈	𦈖
䌋	𦈘
䌐	𬘮
䌖	𦈜
䌝	𦈟
䌞	𬘪
䌟	𦈞
䌥	𦈠
䌪	𬙁
䌰	𦈙
䍤	𫅅
䍦	䍠
䍷	𬙭
䍽	𦍠
䎘	𬚄
䎙	𫅭
䎱	䎬
䐣	𬁽
䐷	𬂅
䑁	𫆙
䑗	𬛹
䓣	𬜯
䔡	𬝁
䕤	𫟕
䕳	𦰴
䕼	𬝴
䖅	𫟑
䗅	𫊪
䗻	𮔂
䗿	𧉞
䙃	𫋸
䙔	𫋲
䙡	䙌
䙱	𧜭
䚆	𬢑
䚉	𬢐
䚩	𫌯
䚳	𬣛
䚵	𬣟
䚽	𬣜
䛄	𫍠
䛍	𬣧
䛘	𬣯
䛛	𬣬
䛞	𬣸
䛤	𬣹
䛬	𬤁
䛳	𫍫
䛽	𬤌
䛿	𬤑
䜀	䜧
䜉	𬤘
䜋	𬤉
䜍	𬤟
䜎	𬣿
䜒	𬤡
䜖	𫟢
䜚	𬤪
䜝	𬤬
䝕	𬥄
䝭	𫎧
䝯	𬥵
䝻	𧹕
䝼	䞍
䞀	𬥽
䞁	𬥺
䞂	𬥻
䞈	𧹑
䞋	𫎪
䞓	𫎭
䟃	𫎺
䟆	𫎳
䟐	𫎱
䟺	𬦥
䠆	𫏃
䠮	𬧃
䠱	𨅛
䡁	𬧢
䡐	𫟤
䡗	𬨆
䡘	𬨉
䡟	𬨌
䡦	𬨑
䡩	𫟥
䡱	𮝀
䡵	𫟦
䡶	𬨔
䡺	𫐕
䢨	𨑹
䤤	𫟺
䤩	𬭈
䤪	𬭆
䤼	𬭣
䥄	𫠀
䥇	䦂
䥑	鿏
䥕	𬭯
䥗	𫔋
䥛	𬭴
䥞	𬭻
䥩	𨱖
䥯	𫔆
䥱	䥾
䥶	𬫂
䦌	𮤬
䦘	𨸄
䦛	䦶
䦝	𬮨
䦟	䦷
䦯	𫔵
䦳	𨷿
䧞	𬮺
䧢	𨸟
䪊	𫖅
䪏	𩏼
䪓	𬰳
䪗	𩐀
䪘	𩏿
䪜	𬰷
䪴	𫖫
䪾	𫖬
䫀	𫖱
䫂	𫖰
䫈	𬱣
䫉	𬥈
䫏	𬱦
䫐	𬃲
䫜	𬱮
䫟	𫖲
䫠	𬱰
䫩	𬱬
䫴	𩖗
䫵	𬱲
䫶	𫖺
䫻	𫗇
䫼	𬱷
䫾	𫠈
䬂	𬱸
䬍	𬲀
䬎	𬱿
䬓	𫗊
䬘	𩙮
䬝	𩙯
䬞	𩙧
䬧	𫗟
䬫	𬲮
䬯	𬲫
䬲	𬲯
䬶	𬲷
䬾	𬲻
䭀	𩠇
䭃	𩠈
䭅	𬲾
䭇	𬳀
䭉	𬳅
䭑	𫗱
䭒	𬳋
䭔	𫗰
䭕	𬲕
䭘	𬳑
䭞	𬲳
䭢	𬲲
䭣	𬲶
䭭	𬱯
䭿	𩧭
䮄	𫠊
䮈	𬳾
䮗	𬴁
䮝	𩧰
䮞	𩨁
䮠	𩧿
䮫	𩨇
䮰	𫘮
䮳	𩨏
䮸	𬳸
䮽	𬴍
䮾	𩧪
䮿	𬴏
䯀	䯅
䯤	𩩈
䰷	𬶆
䰾	鲃
䱀	𫚐
䱁	𫚏
䱓	𬶓
䱗	𮬞
䱙	𩾈
䱚	𮬠
䱛	𮬟
䱧	𫚠
䱬	𩾊
䱰	𩾋
䱱	𬶤
䱵	𮬢
䱷	䲣
䱸	𫠑
䱹	𬶣
䱻	𮬡
䱽	䲝
䲁	鳚
䲅	𫚜
䲏	𬶗
䲕	𬶴
䲖	𩾂
䲗	𮬣
䲘	鳤
䲙	𬶎
䲨	𬷾
䲰	𪉂
䲸	𮭡
䲼	𬸆
䳍	𮭥
䳜	𫛬
䳢	𫛰
䳤	𫛮
䳧	𫛺
䳨	𬸛
䳫	𫛼
䴈	𬸩
䴉	鹮
䴋	𫜅
䴚	𮭰
䴬	𪎈
䴭	𬹅
䴱	𫜒
䴴	𪎋
䴷	𬹉
䴽	𫜔
䵖	𬹔
䵘	𬓸
䵳	𪑅
䵴	𫜙
䶕	𫜨
䶗	𮯙
䶢	𬺍
䶣	𬺃
䶦	𬺉
䶪	𬺕
䶲	𫜳
丟	丢
並	并
乾	干 乾
亂	乱
亙	亘
亞	亚
伕	夫
佇	伫
佈	布
佔	占
併	并
來	来
侖	仑
侶	侣
侷	局
俁	俣
係	系
俓	𠇹
俔	伣
俠	侠
俥	伡
俬	私
倀	伥
倆	俩
倈	俫
倉	仓
個	个
們	们
倖	幸
倣	仿
倫	伦
倲	㑈
偉	伟
偑	㐽
側	侧
偵	侦
偺	咱
偽	伪
傌	㐷
傑	杰
