PN接面	PN结
SQL隐码攻击	SQL注入 SQL注入攻击
三极体	三极管
下拉选单	下拉列表
中介软体	中间件
串列埠	串口 串行端口
主开机记录	主引导记录
主机板	主板
乙太网	以太网
二极体	二极管
云端储存	云存储
云端计算	云计算
互动	交互
互动式	交互式
人工智慧	人工智能
介面	接口 界面
介面卡	适配器
代码	代码
价效比	性价比
优先顺序	优先级
伤心小栈	红心大战
伫列	队列
伺服器	服务器
位元	比特
位元率	比特率
位元组	字节
位元速率	码率
位址	地址
位址列	地址栏
低级	低级
低阶	低级
作业系统	操作系统
使用者	用户
例项	实例
侦错	调试
侦错程式	调试器
信号	信号
储存	保存
元件	组件
光碟	光盘
光碟机	光驱
入口网站	门户网站
全形	全角
全球资讯网	万维网
关联式资料库	关系数据库
内建	内置
内码表	代码页
函数语言程式设计	函数式编程
刀锋伺服器	刀片服务器
分散式	分布式
分时多工	时分复用
分时多重进接	时分多址
分码多重进接	码分多址
分空间多重进接	空分多址
分频多工	频分复用
分频多重进接	频分多址
列举	枚举
列印	打印
剪下	剪切
剪贴簿	剪贴板
副档名	扩展名 文件扩展名
区域网	局域网
半形	半角
单核心	宏内核
印表机	打印机
原始档	源文件
原始码	源代码
原生代码	本地代码
参数列	参数表
取样	采样
取样率	采样率
变数	变量
名称空间	命名空间
后设资料	元数据
向量	矢量
启用	激活
呼叫	调用
命令列	命令行
回圈	循环
回拨	回调
图示	图标
地址	地址
埠	端口
壁纸	壁纸
外接	外置
外来键	外键
多型	多态
多工	多任务
多执行绪	多线程
太空梭	航天飞机
字元	字符
字型	字体
字型档	字库
字尾	后缀
字符集	字符集
字首	前缀
存取	访问
存档	存盘
宕机	死机
定址	寻址
实体地址	物理地址
实体记忆体	物理内存
实例	实例
宽频	宽带
对映	映射
对话方块	对话框
对象	对象
巢状	嵌套
工作列	任务栏
工作管理员	任务管理器
平行计算	并行计算
序列	串行
序号产生器	注册机
建构函式	构造函数
开启	打开
录影	录像
影印	复印
影象	图像
循环	循环
微控制器	单片机
快取	缓存
快取记忆体	高速缓存
快闪记忆体	闪存
感测	传感
打开	打开
执行绪	线程
执行长	首席执行官
扫描器	扫描仪
技术长	首席技术官
折积	卷积
指令式程式设计	命令式编程
指令码	脚本
排程	调度
控制代码	句柄
控制项	控件
携带型	便携式
撷取	截取
支持者	支持者
支援	支持
效能	性能
数位	数字
数位印刷	数字印刷
数位电子	数字电子
数位电路	数字电路
数字	数字
数据机	调制解调器
整合	集成
文书处理	文字处理
文件	文档
文字	文本
无失真压缩	无损压缩
时脉频率	时钟频率
映象	镜像
映象管	显像管
显示卡	显卡
晶片	芯片
智慧	智能
智慧财产权	知识产权
有失真压缩	有损压缩
杂凑	哈希 散列
来电转驳	呼叫转移
标头档案	头文件
栏位	字段
核心	内核
桌上型	桌面型
桌上型电脑	台式机
桌布	壁纸
档名	文件名
档案	文件
检视	查看 视图
模拟	仿真 模拟
模组	模块
正规化	范式
正规表示式	正则表达式
气泡跑需	冒泡排序
永续性	持久性
汇入	导入
汇出	导出
汇流排	总线
汇编	汇编
波长分波多工	波分复用
消息	消息
游标	光标
溢位	溢出
滑鼠	鼠标
演算法	算法
点选	点击
点阵图	位图
烧录	刻录
物件	对象
物件导向	面向对象
状态列	状态栏
电脑保安	计算机安全
电脑科学	计算机科学
画素	像素
登入	登录
登出	注销
目的码	目标代码
直译器	解释器
相容	兼容
相簿	相册
真实模式	实模式
硬体	硬件
硬碟	硬盘
碟片	盘片
碟符	盘符
磁碟	磁盘
磁轨	磁道
社区	社区
社羣	社区
离线	脱机
积体电路	集成电路
程序	进程
程序导向	面向过程
程序式程式设计	过程式编程
程式	程序
程式码	代码
程式设计	编程
程式设计师	程序员
程式语言	编程语言
稽覈	审覈
空间多工	空分复用
简报	演示文稿
简讯	短信
类别范本	类模板
类比	模拟
类比电子	模拟电子
类比电路	模拟电路
粘贴	粘贴
系结	绑定
线上	在线
组合语言	汇编语言
组译	汇编
终端使用者	最终用户
缩图	缩略图
缩排	缩进
网咖	网吧
网路	网络
网路上的芳邻	网上邻居
网际网路	互联网
膝上型电脑	笔记本电脑
菜单	菜单
萤幕	屏幕
营运长	首席运营官
蓝芽	蓝牙
虚拟函式	虚函数
虚拟机器	虚拟机
虚拟码	伪代码
行内函数	内联函数
行动式	便携式
行动电话	移动电话
行动硬碟	移动硬盘
行动通讯	移动通信
表示式	表达式
装置	设备
覈取按钮	复选按钮
覈取方块	复选框
视窗	窗口
视觉化	可视化
视讯	视频
视讯记忆体	显存
解构函式	析构函数
解析度	分辨率
解除安装	卸载
触控式萤幕	触摸屏
讯号	信号
