PN接面	PN结
SQL隐码攻击	SQL注入 SQL注入攻击
三极体	三极管
下拉选单	下拉列表
中介软体	中间件
串列埠	串口 串行端口
主机板	主板
主开机记录	主引导记录
乙太网	以太网
乳酪	奶酪
二极体	二极管
互动	交互
互动式	交互式
亚塞拜然	阿塞拜疆
人工智慧	人工智能
介面	接口 界面
介面卡	适配器
代码	代码
伺服器	服务器
伫列	队列
位元	比特
位元率	比特率
位元组	字节
位元速率	码率
位址	地址
位址列	地址栏
低级	低级
低阶	低级
作业系统	操作系统
使用者	用户
来电转驳	呼叫转移
例项	实例
信号	信号
侦错	调试
侦错程式	调试器
傅立叶	傅里叶
伤心小栈	红心大战
价效比	性价比
优先顺序	优先级
储存	保存
元件	组件
光碟	光盘
光碟机	光驱
克罗埃西亚	克罗地亚
入口网站	门户网站
内建	内置
内码表	代码页
全形	全角
全球资讯网	万维网
冷盘	凉菜
函数语言程式设计	函数式编程
刀锋伺服器	刀片服务器
分散式	分布式
分时多工	时分复用
分时多重进接	时分多址
分码多重进接	码分多址
分空间多重进接	空分多址
分频多工	频分复用
分频多重进接	频分多址
列印	打印
列支敦斯登	列支敦士登
列举	枚举
剪下	剪切
剪贴簿	剪贴板
副档名	扩展名 文件扩展名
加彭	加蓬
汇入	导入
汇出	导出
汇流排	总线
区域网	局域网
千里达及托巴哥	特立尼达和多巴哥
半形	半角
卡达	卡塔尔
印表机	打印机
厄利垂亚	厄立特里亚
厄瓜多	厄瓜多尔
原始档	源文件
原始码	源代码
原生代码	本地代码
参数列	参数表
取样	采样
取样率	采样率
史瓦济兰	斯威士兰
吉布地	吉布堤
吉里巴斯	基里巴斯
名称空间	命名空间
吐瓦鲁	图瓦卢
向量	矢量
呼叫	调用
命令列	命令行
哈萨克	哈萨克斯坦
哥斯大黎加	哥斯达黎加
启用	激活
乔治亚	格鲁吉亚
单核心	宏内核
回拨	回调
图示	图标
土库曼	土库曼斯坦
地址	地址
坦尚尼亚	坦桑尼亚
埠	端口
执行绪	线程
执行长	首席执行官
塔吉克	塔吉克斯坦
塞席尔	塞舌尔
塞普勒斯	塞浦路斯
壁纸	壁纸
夏农	香农
外来键	外键
外接	外置
多型	多态
多执行绪	多线程
多工	多任务
多明尼加	多米尼加
太空梭	航天飞机
奈及利亚	尼日利亚
子音	辅音
字元	字符
字型	字体
字型档	字库
字尾	后缀
字符集	字符集
字首	前缀
存取	访问
存档	存盘
安地卡及巴布达	安提瓜和巴布达
宏都拉斯	洪都拉斯
宕机	死机
定址	寻址
实例	实例
实体地址	物理地址
实体记忆体	物理内存
宽频	宽带
寮国	老挝
对映	映射
对话方块	对话框
对象	对象
尚比亚	赞比亚
尤拉	欧拉
尼日	尼日尔
巢状	嵌套
工作列	任务栏
工作管理员	任务管理器
巴布亚纽几内亚	巴布亚新几内亚
巴贝多	巴巴多斯
布吉纳法索	布基纳法索
帛琉	帕劳
平行计算	并行计算
几内亚比索	几内亚比绍
序列	串行
序号产生器	注册机
建构函式	构造函数
汇编	汇编
影印	复印
影象	图像
后设资料	元数据
循环	循环
微控制器	单片机
快取	缓存
快取记忆体	高速缓存
快捷半导体	仙童半导体
快闪记忆体	闪存
感测	传感
打开	打开
技术长	首席技术官
指令式程式设计	命令式编程
指令码	脚本
扫描器	扫描仪
排程	调度
控制代码	句柄
控制项	控件
折积	卷积
撷取	截取
携带型	便携式
支持者	支持者
支援	支持
效能	性能
整合	集成
数位	数字
数位印刷	数字印刷
数位电子	数字电子
数位电路	数字电路
数字	数字
数据机	调制解调器
文件	文档
文字	文本
文书处理	文字处理
斯洛维尼亚	斯洛文尼亚
映象	镜像
映象管	显像管
时脉频率	时钟频率
晶片	芯片
智慧	智能
智慧财产权	知识产权
有失真压缩	有损压缩
查德	乍得
核心	内核
格瑞那达	格林纳达
桌上型	桌面型
桌上型电脑	台式机
桌布	壁纸
标头档案	头文件
模拟	仿真 模拟
模组	模块
模里西斯	毛里求斯
档名	文件名
档案	文件
检视	查看 视图
栏位	字段
正规化	范式
正规表示式	正则表达式
母音	元音
气泡跑需	冒泡排序
永续性	持久性
汶莱	文莱
沙乌地阿拉伯	沙特阿拉伯
波士尼亚赫塞哥维纳	波斯尼亚黑塞哥维那
波札那	博茨瓦纳
波长分波多工	波分复用
消息	消息
游标	光标
溢位	溢出
滑鼠	鼠标
演算法	算法
乌兹别克	乌兹别克斯坦
无失真压缩	无损压缩
烧录	刻录
营运长	首席运营官
片语	词组
物件	对象
物件导向	面向对象
状态列	状态栏
狮子山	塞拉利昂
瓜地马拉	危地马拉
甘比亚	冈比亚
画素	像素
登入	登录
登出	注销
