0余	0餘
0天	0天
0天后	0天後
0寸	0吋
0海	0海
0海里	0海里
0里	0里
1天	1天
1天后	1天後
1寸	1吋
1海	1海
1海里	1海里
1里	1里
2天	2天
2天后	2天後
2寸	2吋
2海	2海
2海里	2海里
2里	2里
3天	3天
3天后	3天後
3寸	3吋
3海	3海
3海里	3海里
3里	3里
4天	4天
4天后	4天後
4寸	4吋
4海	4海
4海里	4海里
4里	4里
5天	5天
5天后	5天後
5寸	5吋
5海	5海
5海里	5海里
5里	5里
6天	6天
6天后	6天後
6寸	6吋
6海	6海
6海里	6海里
6里	6里
7天	7天
7天后	7天後
7寸	7吋
7海	7海
7海里	7海里
7里	7里
8天	8天
8天后	8天後
8寸	8吋
8海	8海
8海里	8海里
8里	8里
9天	9天
9天后	9天後
9寸	9吋
9海	9海
9海里	9海里
9里	9里
A’	A'
B’	B'
C’	C'
D’	D'
E’	E'
F’	F'
G’	G'
H’	H'
I’	I'
J’	J'
K’	K'
L’	L'
M’	M'
N’	N'
O’	O'
P’	P'
Q’	Q'
R’	R'
S’	S'
T’	T'
U’	U'
V’	V'
W’	W'
X’	X'
Y’	Y'
Z’	Z'
a’	a'
b’	b'
c’	c'
d’	d'
e’	e'
f’	f'
g’	g'
h’	h'
i’	i'
j’	j'
k’	k'
l’	l'
m’	m'
n’	n'
o’	o'
p’	p'
q’	q'
r’	r'
s’	s'
t’	t'
u’	u'
v’	v'
w’	w'
x’	x'
y’	y'
z’	z'
○余	○餘
○海	○海
○海里	○海里
○里	○里
“恩	「嗯
“恩！	「嗯！
“当	「當
“当”	「噹」
“当！	「噹！
一并	一併
一并不	一並不
一并且	一並且
一并非	一並非
一伙	一夥
一个	一個
一出	一出
一出京剧	一齣京劇
一出剧	一齣劇
一出剧院	一出劇院
一出好戏	一齣好戲
一出戏	一齣戲
一出话剧	一齣話劇
一出电影	一齣電影
一制	一制
一制作	一製作
一制程	一製程
一制药	一製藥
一只	一隻
一只只	一隻隻
一只只够	一隻只夠
一只只有	一隻只有
一周	一週
一大	一大
一大伙	一大夥
一天	一天
一天后	一天後
一干	一干
一干二净	一乾二淨
一干就	一幹就
一干而尽	一乾而盡
一斗	一斗
一斗不	一鬥不
一斗再斗	一鬥再鬥
一松	一鬆
一松林	一松林
一松树	一松樹
一松鼠	一松鼠
一树	一樹
一树百获	一樹百穫
一毫	一毫
一毫一发	一毫一髮
一冲	一沖
一冲一撞	一衝一撞
一海	一海
一海里	一海里
一涂	一塗
一游	一遊
一物	一物
一物克一	一物剋一
一发	一發
一发之差	一髮之差
一发之间	一髮之間
一发千钧	一髮千鈞
一直	一直
一直干	一直幹
一直发女	一直髮女
一箭	一箭
