㒓	𠉂
㗲	𠵾
㜢	𡞱
㜷	𡝠
㞞	𪨊
㢝	𢋈
㦎	𢛯
㷿	𤈷
㺏	𤠋
㿧	𤽯
䀹	𥅴
䁪	𥇢
䉙	𥬀
䉬	𫂈
䉲	𥮜
䊭	𥺅
䋿	𦈓
䌈	𦈖
䌋	𦈘
䌖	𦈜
䌝	𦈟
䌟	𦈞
䌥	𦈠
䌰	𦈙
䕳	𦰴
䗿	𧉞
䝻	𧹕
䞈	𧹑
䢨	𨑹
䥩	𨱖
䦘	𨸄
䦳	𨷿
䧢	𨸟
䪏	𩏼
䪗	𩐀
䪘	𩏿
䫴	𩖗
䬘	𩙮
䬝	𩙯
䬞	𩙧
䭀	𩠇
䭃	𩠈
䭿	𩧭
䮝	𩧰
䮞	𩨁
䮠	𩧿
䮫	𩨇
䮳	𩨏
䮾	𩧪
䱙	𩾈
䱬	𩾊
䱰	𩾋
䲖	𩾂
䲰	𪉂
䴬	𪎈
䴴	𪎋
儣	𠆲
凙	𪞝
剾	𠛅
哯	𠯟
嗰	𠮶
嗹	𪡏
噅	𠯠
圞	𪢮
壈	𡒄
屩	𪨗
嵼	𡶴
懀	𢙓
摋	𢫬
擣	𢭏
斅	𢽾
曥	𣆐
朥	𦛨
檭	𣘴
欍	𣐤
欓	𣗋
澅	𣶩
濆	𣸣
瀃	𣽷
灙	𣺼
熉	𤈶
熌	𤇄
熓	𤆡
熡	𤋏
爄	𤇃
玁	𤞤
瑽	𪻐
瓕	𤦀
皟	𤾀
睍	𪾢
瞤	𥆧
碙	𥐻
礒	𥐟
篘	𥬠
籋	𥬞
絺	𫄨
綀	𦈌
綇	𦈋
緍	𦈏
緰	𦈕
緷	𦈉
緸	𦈑
縎	𦈔
縬	𦈚
縺	𦈐
繏	𦈝
繓	𦈛
繟	𦈎
繻	𦈡
纁	𫄸
脥	𣍰
腪	𣍯
膢	𦝼
臗	𣎑
襀	𫌀
覼	𫌨
訑	𫍙
詀	𧮪
詑	𫍟
諰	𫍰
謏	𫍲
譊	𫍢
賟	𧹖
贃	𧹗
蹻	𫏋
躝	𨅬
軉	𨉗
軏	𫐄
軗	𨐅
軨	𫐉
輄	𨐈
輗	𫐐
輮	𫐓
轣	𫐆
釳	𨰿
鈇	𫓧
鈋	𨱂
鈠	𨱁
鈯	𨱄
鈲	𨱃
鉁	𨱅
銶	𨱇
鋉	𨱈
錂	𨱋
鍄	𨱉
鍮	𨱎
鎝	𨱏
鎯	𨱍
鎷	𨰾
鏆	𨱌
鏉	𨱒
鏦	𫓩
鐄	𨱑
鐍	𫔎
鐎	𨱓
鐏	𨱔
閍	𨸂
閐	𨸃
顃	𩖖
願	愿 𫖸
颰	𩙥
颷	𩙪
颾	𩙫
餔	𫗦
餗	𫗧
餦	𫗠
餭	𫗮
餸	𩠌
饘	𫗴
駃	𫘝
駎	𩧨
駚	𩧫
駧	𩧲
駩	𩧴
駶	𩧺
駻	𫘣
騃	𫘤
騔	𩨀
騚	𩨊
騝	𩨃
騟	𩨈
騠	𫘨
騪	𩨄
驋	𩧯
魟	𫚉
魥	𩽹
鮄	𫚒
鮟	𩽾
鮰	𫚔
鮸	𩾃
鯄	𩾁
鯆	𫚙
鯱	𩾇
鯶	𩽼
鰤	𫚕
鱇	𩾌
鱮	𫚈
鳷	𫛛
鳼	𪉃
鴃	𫛞
鴗	𫁡
鴜	𪉈
鴲	𪉆
鵚	𪉍
鶒	𫛶
鶗	𫛸
鷔	𪉑
鷨	𪉊
鸋	𫛢
麨	𪎊
麲	𪎉
麳	𪎌
龭	𩨎
龯	𨱆
𠌥	𠆿
𠏢	𠉗
𠞆	𠛆
𠠎	𠚳
𡄔	𠴢
𡄣	𠵸
𡅏	𠲥
𡑭	𡋗
𡓾	𡋀
𡮉	𡭜
𡮣	𡭬
𢣚	𢘝
𢣭	𢘞
𢶫	𢫞
𢷮	𢫊
𢹿	𢬦
𣝕	𣘷
𣞻	𣘓
𣠲	𣑶
𣯴	𣭤
𣿉	𣶫
𤁣	𣺽
𤒎	𤊀
𤳸	𤳄
𤸫	𤶧
𥌃	𥅘
𥕥	𥐰
𥖅	𥐯
𥨐	𥧂
𥵃	𥱔
𥵊	𥭉
𥸠	𥮋
𥼽	𥹥
𥽖	𥺇
𥿊	𦈈
𦂅	𦈒
𦃄	𦈗
𦢈	𣍨
𦣎	𦟗
𦪽	𦨩
𧔥	𧒭
𧳟	𧳕
𧶔	𧹓
𨄣	𨀱
𨅍	𨁴
𨇁	𧿈
𨇞	𨅫
𨈊	𨂺
𨈌	𨄄
𨊻	𨐆
𨎮	𨐉
𨏠	𨐇
𨏥	𨐊
𨤻	𨤰
𨥛	𨱀
𨧱	𨱊
𨫒	𨱐
𨮂	𨱕
𨳑	𨸁
𨳕	𨸀
𨴗	𨸅
𨵩	𨸆
𨵸	𨸇
𨶀	𨸉
𨶏	𨸊
𨶮	𨸌
𨶲	𨸋
𨷲	𨸎
𨽏	𨸘
𩎢	𩏾
𩏪	𩏽
𩓣	𩖕
𩗀	𩙦
𩗡	𩙧
𩘀	𩙩
𩘝	𩙭
𩘹	𩙨
𩘺	𩙬
𩙈	𩙰
𩚛	𩟿
𩚥	𩠀
𩚵	𩠁
𩛆	𩠂
𩛩	𩠃
𩜇	𩠉
𩜦	𩠆
𩜵	𩠊
𩝔	𩠋
𩞄	𩠎
𩞦	𩠏
𩟐	𩠅
𩠴	𩠠
𩡺	𩧦
𩢡	𩧬
𩢴	𩧵
𩢸	𩧳
𩢾	𩧮
𩣏	𩧶
𩣺	𩧼
𩤊	𩧩
𩤙	𩨆
𩤲	𩨉
𩤸	𩨅
𩥄	𩨋
𩥇	𩨍
𩥉	𩧱
𩥑	𩨌
𩧆	𩨐
𩭙	𩬣
𩯳	𩯒
𩰀	𩬤
𩳤	𩲒
𩵩	𩽺
𩵹	𩽻
𩶰	𩽿
𩶱	𩽽
𩷰	𩾄
𩸃	𩾅
𩸦	𩾆
𩿪	𪉄
𪀦	𪉅
𪀾	𪉋
𪁈	𪉉
𪁖	𪉌
𪂆	𪉎
𪃍	𪉐
𪃏	𪉏
𪄆	𪉔
𪄕	𪉒
𪇳	𪉕
𪋿	𪎍
𪔵	𪔭
𪘀	𪚏
𪘯	𪚐
