16進位制	16进位制
16進位	16进制
IP位址	IP地址
乙個	一个
乙份	一份
一份子	一分子
乙隻	一只
全球資訊網	万维网
三十六著	三十六着
三極體	三极管
上落客	上下客
下著	下着
下著作	下著作
下著名	下著名
下著录	下著录
下著錄	下著录
下著有	下著有
下著称	下著称
下著稱	下著称
下著述	下著述
落車	下车
卑詩省	不列颠哥伦比亚省
不著	不着
不著書	不著书
不著名	不著名
不著錄	不著录
不著稱	不著称
不著述	不著述
與著	与着
與著書	与著书
與著作	与著作
與著名	与著名
與著錄	与著录
與著稱	与著称
與著者	与著者
與著述	与著述
醜著	丑着
醜著作	丑著作
醜著名	丑著名
醜著稱	丑著称
邱吉爾	丘吉尔
C型肝炎	丙型肝炎
C肝	丙肝
東協會	东协会
東協助	东协助
東協議	东协议
東南亞國家協會	东南亚国家联盟
亚细安	东盟
東協	东盟
仲介	中介
臨著	临着
臨著作	临著作
臨著名	临著名
臨著稱	临著称
臨著述	临著述
為著	为着
為著《	为著《
為著作	为著作
為著名	为著名
為著錄	为著录
為著稱	为著称
為著者	为著者
為著述	为著述
主機板	主板
麼著	么着
烏龍麵	乌冬面
樂著	乐着
樂著《	乐著《
樂著書	乐著书
樂著作	乐著作
樂著名	乐著名
樂著稱	乐著称
樂著述	乐著述
賈伯斯	乔布斯
喬治·歐威爾	乔治·奥威尔
乘著	乘着
乘著作	乘著作
乘著名	乘著名
乘著称	乘著称
乘著稱	乘著称
乘著述	乘著述
B型肝炎	乙型肝炎
B肝	乙肝
吉力馬札羅	乞力马扎罗
葉門	也门
買帳	买账
了結他	了结他
爭著	争着
爭著作	争著作
爭著名	争著名
爭著稱	争著称
爭著述	争著述
二極體	二极管
二進位制	二进位制
二進位	二进制
網際網絡	互联网
網際網路	互联网
亞加力	亚克力
壓克力	亚克力
亞歷山卓	亚历山大
阿迪斯阿貝巴	亚的斯亚贝巴
雅穆索戈	亚穆苏克罗
亞里斯多德	亚里士多德
交帳	交账
亮著	亮着
亮著《	亮著《
亮著作	亮著作
亮著名	亮著名
亮著称	亮著称
亮著稱	亮著称
亮著述	亮著述
人工智慧	人工智能
行人路	人行道
甚麼	什么
甚麽	什么
仗著	仗着
仗著作	仗著作
仗著名	仗著名
仗著稱	仗著称
付帳	付账
代表著	代表着
代表著作	代表著作
代表著名	代表著名
代表著錄	代表著录
代表著稱	代表著称
代表著者	代表著者
代表著述	代表著述
乙太網	以太网
份外卖	份外卖
份外，	份外，
伊莉莎白	伊丽莎白
伊利沙伯二世	伊丽莎白二世
伊利諾	伊利诺伊
伊利諾伊	伊利诺伊
伊斯蘭瑪巴德	伊斯兰堡
伊斯坦堡	伊斯坦布尔
伏著	伏着
優先順序	优先级
傳著	传着
傳著作	传著作
傳著名	传著名
傳著有	传著有
傳著稱	传著称
傳著述	传著述
貝里斯	伯利兹
伯明罕	伯明翰
伴著	伴着
伴著作	伴著作
伴著名	伴著名
伴著稱	伴著称
伴著述	伴著述
點陣圖	位图
低著	低着
低著作	低著作
低著名	低著名
低著称	低著称
低著稱	低著称
住著	住着
住著作	住著作
住著名	住著名
住著称	住著称
住著稱	住著称
住著述	住著述
餘	余
維德角	佛得角
裴洛西	佩洛西
侏儸紀	侏罗纪
側著	侧着
側著作	侧著作
側著名	侧著名
側著稱	侧著称
側著述	侧著述
可攜式	便携式
攜帶型	便携式
促著	促着
奧勒岡	俄勒冈
保護著	保护着
