㐀	丘
㐅	五
㐫	凶
㐮	襄
㐯	庸
㐱	鬒
㐴	攀
㐵	儒
㑁	𠭴
㑄	侮
㑌	尩
㑝	𢙱
㒇	儛
㒋	廝 厮
㒚	穩
㒞	儶
㒰	全
㒲	財
㒷	興
㓁	网
㓮	彫 雕
㓷	劓
㓸	斲
㔍	䥷
㔱	斞
㔾	卩
㕑	𢊍 厨
㕚	爪 爫
㕞	刷
㗖	啖 噉 啗
㗳	嗒
㘅	銜 啣
㘽	栽
㙮	塔
㙳	轗
㚝	奞 奎
㚣	姣
㛛	娠
㝃	娩
㝛	宿
㝦	寯 𮱠
㝵	礙 碍
㝷	𡬶
㞐	居
㟗	邠 豳
㟢	埼 崎 嵜 碕 陭 﨑 𥔎
㠊	嶇
㠯	以
㠶	帆
㡅	𣍓
㡘	𢅏
㡿	斥
㢴	西
㣶	邅
㣺	心 忄
㣼	忍
㤒	笨
㤵	慈
㥃	悶 懣
㥵	慁
㦧	憯
㧃	收
㧖	扼 搤
㧜	擸
㨉	抿
㨗	捷
㨨	㩅
㨼	撂
㩁	搉
㩅	㨨
㩜	攬 擥
㩹	𢶣
㪅	更
㪯	舉
㫃	偃
㫎	幑 𣄈
㫚	昒
㬅	曼
㬱	朁
㬹	踭
㭒	耜
㭨	椰
㮣	槩 槪
㯃	漆 桼
㯭	樐 櫓
㯶	棕
㯽	檳
㰍	櫳
㱿	殼 壳
㲒	勽
㲓	毧
㳄	涎
㴑	溯
㴔	潝
㵒	沸
㷉	熨
㷠	燐 粦
㷻	煳
㽣	域
㽽	痼
㾙	脪
㿟	皦 皎
㿷	糙
䀋	鹽
䀠	瞿
䀡	䦓 覘
䀢	瞬
䀹	睫
䂀	𥋟
䂫	夯
䃉	珉
䃘	硜
䄃	殃
䄍	蜡
䄯	𢆞
䄺	稊
䆋	秋
䆔	竉
䆫	窓 窗
䆼	窠
䈇	罩
䉵	饌 籑
䊜	糰
䋲	繩
䌥	縯
䌫	纜
䏕	飪
䐰	饈
䒒	苕
䔛	檾
䕌	稚
䕭	蕁
䖈	虐
䖍	虔
䖏	処 處
䖟	蝱
䖣	蚤
䖵	蜫
䗦	䗬
䗬	䗦
䘑	脉
䘚	卒
䘺	綻
䙝	褻 褺
䚎	𥅾
䛡	話
䛻	誘
䛼	譭
䜊	嘈
䜶	豇
䝋	豵
䝜	狻
䝤	獠
䞓	赬
䠊	剕
䠱	躅
䢙	敗
䢜	歸
䣩	醇
䤍	𨢥
䤠	鍺
䥀	捵
䥨	鑢
䥪	𮸗
䥷	㔍
䦓	䀡 覘
䨘	霰
䨶	𩆆
䩞	韂
䪊	龓
䪿	囟
䬒	颼
䬡	翥
䭾	馱
䯌	尻
䯻	髻
䰗	鬮
䰞	煮
䱇	鱓
䱷	漁
䱽	鯧
䳘	鵝
䴸	麩
䴹	餜
䵑	䵒
䵒	䵑
䶏	涕
一	弌 壹
七	柒
万	卍 萬
三	叁
与	與
丐	匃
丘	㐀 坵
东	東
丟	丢
両	兩 两
丢	丟
两	両 兩
並	幷 并 竝
个	個 箇
乃	迺 廼
么	幺
义	義
乔	喬
乚	隱
九	玖
乱	亂
乹	乾
乾	乹 亁
亁	乾
亂	乱
予	余
争	爭
亊	事
事	亊
二	弍 貳
于	扵 於
亏	於 扵
五	㐅
亗	岁 歲 𡻕
亝	齊
亡	兦 亾
亲	榛
人	亻
亻	人
亼	集
亾	亡
仇	讎 讐
从	從
他	她 牠
仙	僊
仝	同
仟	千 阡
以	㠯
任	仼
仼	任
仾	低
仿	倣
伀	彸
伃	妤
会	會
伭	玄
伱	你
伷	冑 胄
佇	竚
佋	紹
低	仾
佑	祐
体	體 軆
佗	它
余	予
作	𠈨
你	伱
佰	百
併	𠊧
使	𠭆
侁	駪 詵
侂	託
侅	賅
來	来
侎	敉
侖	崙
侚	殉 狥
侣	侶
侮	㑄
侶	侣
俈	嚳
俓	徑
俞	兪
俟	竢
俯	頫
俻	備
倈	徠 勑
個	个 箇
倏	倐
倐	倏
倖	幸
倘	儻
倣	仿
値	值
倪	𮯴
值	値
偁	穪 稱
偃	㫃
偊	踽
偐	贋 贗
偒	蕩
健	徤
偪	逼
偵	遉
偷	偸
偸	偷
偺	昝 咱
傁	叟 叜
傌	罵
傏	搪
傑	杰
傘	繖
備	俻
傜	徭
傻	儍
傽	慞
僊	仙
僱	雇
儆	警
儍	傻
儒	㐵
儓	檯 枱
儛	㒇
儭	襯
儶	㒞
儻	倘
兌	兑
兎	兔
兑	兌
兔	兎
兦	亡
全	㒰
兩	両 两
兪	俞
八	捌
兮	𠔃
兹	玆 茲
冂	坰 冋
冄	冉
冉	冄
冋	冂 坰
冑	伷 胄
冒	冒
冗	冗 宂
冤	寃
冩	寫
冪	羃 鼏
冫	氷 冰
冰	冫 氷 𣲝
冱	沍 沪
冲	沖
决	決
况	況
凂	浼
凄	淒
准	準
凈	淨
凉	涼
减	減
凑	湊
凛	懔
凡	凢 凣
凢	凡
凣	凡
処	䖏 處
凳	櫈
凴	憑
凶	㐫
凹	𠕄
出	岀
函	凾 圅
凾	函 圅
刀	刂
刂	刀
刃	刄
刄	刃
刅	創
刊	刋
刋	刊
刓	园
刘	劉
删	刪
刦	刧 劫
刧	刦 劫
刨	鉋
利	𥝢
刪	删
刱	創
刴	剁
刷	㕞
刼	劫
剁	刴
剃	鬀
剋	尅
剕	䠊
剗	剷
剛	𠇝
剦	閹
剩	賸
剪	翦
剳	劄
創	刅 刱 戧
剷	剗
剿	𠞰
劄	剳
劈	擗
劉	刘
劍	劒
劎	劔
劒	劍
劓	㓷
劔	劎
劝	勸
办	辦
劫	刦 刧 刼
効	效
勄	敏
勅	勑 敕
勑	倈 勅 敕 徠
勖	勗
勗	勖
勛	勳
勰	協 恊
勳	勛
勸	劝
勹	包
勻	匀
勽	㲒 菢
匀	勻
匃	丐 匄
匄	匃
包	勹
匆	悤 怱
匈	胸 胷
匊	掬
匋	陶
匏	瓟
匘	腦
匙	鍉
匝	帀 迊 𠂝
匧	篋
匯	滙
匱	樻 鐀 櫃 饋
匳	奩
匵	櫝
匹	疋
医	醫
千	仟
卄	廿
卉	芔
卌	𠦌
卍	万 卐 萬
卐	卍
卒	䘚
協	勰 旪
单	單
博	愽
卧	臥
卩	㔾
卬	卭
卭	卬
卯	戼
危	𡴲 𡵁
即	卽
却	卻
卹	恤
卻	却
卽	即
厄	戹
历	厲
厎	砥
厓	崖
厖	庬
厘	釐 𭀖
原	𠪥
厠	廁
厤	曆
厦	廈
厨	㕑 廚 𢊍
厩	廐
厪	廑
厮	㒋 廝
厰	廠
厲	历
厶	某
厷	肱
厹	叴
叁	三
參	叅
叅	參
双	雙
収	收
叔	尗
变	變
叙	敍 敘
叜	傁 叟
叟	傁 叜
叠	曡 疊
叡	睿
叢	樷
叨	饕
只	子
叫	呌
台	臺
叴	厹
叵	尀
号	號
吃	喫
吊	弔
同	仝
吒	咤
吚	咿
吝	恡 悋
吞	呑
吟	唫
吣	唚
吨	啍
听	聽
吲	哂
吳	呉
吶	訥
吸	噏
吹	龡
吻	呡 肳
吿	告
呆	獃
呉	吳
告	吿
呌	叫
呑	吞
呠	歕 噴
呡	吻
周	週
呪	詋 咒
咀	觜 嘴
咂	𠯗
咊	和 龢
和	咊 龢
咏	詠
咒	呪
咤	吒
咨	嗞 諮
咩	哶
咬	齩
咱	偺
咲	笑
咳	欬
咷	啕
咽	嚥
咿	吚
哂	吲
响	響
哦	誐
哲	喆 悊
哴	喨
哶	咩
唁	喭
唇	脣
唉	欸
唊	硤
唚	吣
唫	吟
唬	諕 猇 虓
唾	涶
啃	齦
啍	吨
啎	忤
啓	啟
啕	咷
啖	㗖 噉 啗
啗	㗖 啖 噉
啜	欼 諁 歠
啞	瘂
啟	啓
啣	㘅
啼	嗁
喂	餧
喃	諵
喆	哲
喐	郁
喒	昝
喜	憙
喧	諠
喨	哴
喫	吃
喬	乔
喭	唁
單	单
喿	噪
嗁	啼
嗅	齅
嗉	膆
嗒	㗳
嗞	咨 諮
嗥	嚎 嘷
嗽	瘶
嘆	歎
嘈	䜊
嘍	謱
嘗	甞
嘩	譁
嘯	歗
嘱	囑
嘴	咀 觜
嘷	嗥
嘿	默
噂	譐
噉	㗖 啖 啗
噏	吸
噐	器
噑	嚎
噦	𧬨
器	噐
噪	喿 譟
噴	呠 歕
嚎	嗥 噑
嚥	咽
嚬	顰
嚳	俈
嚵	饞
嚹	𡅈
囁	讘
囈	讛
囑	嘱
囓	齧
囘	囬 回
四	肆
回	囘 廻 囬
囟	䪿 顖
囤	𥫱
囪	囱
囬	囘 回
园	刓
囮	𡈙
囯	國
困	睏
囱	囪
圅	函 凾
國	囯
圕	圖
圖	圕
圝	圞
圞	圝
圢	町
圣	聖
圩	墟
圬	杇
圭	珪
坆	墳
坋	坌
坌	坋
坎	埳
坏	坯
坑	阬
坛	壇
坟	墳
坤	堃
坭	泥
坯	坏
坰	冂 冋
坵	丘
垔	陻 堙
垛	垜
垜	垛
垻	壩
埇	甬
埜	野
域	㽣
埳	坎
埶	蓺 秇 藝
執	执
埼	㟢 崎 嵜 碕 陭 﨑 𥔎
埽	掃
堃	坤
堇	菫
堈	缸 罁
堘	塍
堙	垔 陻
堤	隄
堦	階
堭	隍
報	报
場	塲
堿	鹼 鹻
塍	堘
塐	塑
塑	塐
塔	㙮 墖
塟	葬
塡	窴
塢	隝 隖 鄔
塤	壎
塩	鹽
塲	場
塹	壍
塼	磚
墈	磡
墖	塔
墝	磽
墟	圩
墤	隤
墫	樽 罇
墰	罈 壜
墳	坆 坟
墻	廧 牆
壇	坛
壍	塹
壎	塤
壐	璽
壜	墰 罈
壩	垻
声	聲
壳	㱿 殻
壹	一 弌
壻	婿
壽	寿 夀
夀	壽 寿
夅	降
変	變
够	彀 夠
夠	够 彀
夢	梦 夣
夣	夢
天	靝
夯	䂫
夸	誇
奇	竒
奈	柰
奎	㚝 奞
奔	犇
奕	弈
奞	㚝 奎
奩	匳
奶	妳 嬭
她	他
妊	姙
妒	妬
妙	玅
妝	粧
妤	伃
妬	妒
妳	奶 嬭
姆	姥
姉	姊
姊	姉
姍	姗
姗	姍
姙	妊
姣	㚣
姥	姆
姻	婣
娘	孃
娠	㛛
娩	㝃
娬	嫵
娿	婀
婀	娿
婣	姻
婦	媍
婬	淫
婿	壻
媆	嫩
媍	婦
媿	愧
嫉	𡜱
嫕	嫛
嫛	嫕
嫩	媆 𡞾
嫫	嬷
嫵	娬
嫺	嫻
嫻	嫺
嬌	撟
嬪	𡴓
嬭	奶 妳
嬰	孾
嬷	嫫
孀	霜
孃	娘
子	只
孭	𧴯
學	斈
孼	孽
孽	孼
孾	嬰
宂	冗
它	佗 牠
完	烟 煙
宐	宜
宜	宐
宝	寚 寳 寶
宴	讌
宻	密
宼	寇
宿	㝛
寃	冤
密	宻
寇	宼
寍	寧
寔	實
寕	寜
寗	甯
寘	置
寚	宝 寳
寜	寕
察	詧
寠	窶
寡	關
實	寔
