㖈	䎛
㘽	㦳
㦳	㘽
㩁	搉
㫚	曶
㮣	槩
䎛	㖈
䱍	䱎
䱎	䱍
䶾	𣢧
併	倂
倂	併
値	值
值	値
叱	𠮟
吳	吴 呉
吴	吳 呉
呉	吳 吴
塡	填
填	塡
墫	壿
壯	𡉟
壿	墫
奨	奬 獎
奬	奨 獎
娛	娯 娱
娯	娛 娱
娱	娛 娯
媯	嬀
媲	𡠌
嬀	媯
帡	帲
帲	帡
志	𢖽
怽	𢗿
恆	恒
恒	恆
悅	悦
悦	悅
戶	户 戸
户	戶 戸
戸	戶 户
挩	捝
挿	插 揷
捝	挩
插	挿 揷
揷	挿 插
揺	搖 摇
搉	㩁
搖	揺 摇
摇	揺 搖
敓	敚
敚	敓
晚	晩
晩	晚
曶	㫚
梲	棁
棁	梲
榝	樧
槩	㮣
樧	榝
涗	涚
涚	涗
溈	潙
潙	溈
獎	奨 奬
皌	𤽜
研	硏
砞	𥑘
硏	研
祙	𥘯
稅	税
税	稅
稽	𥡴
籑	𥶉
絕	絶
絙	絚
絚	絙
絶	絕
緒	緖
緖	緒
胼	腁
脫	脱
脱	脫
腁	胼
苿	茉
茉	苿
蒍	蔿
蔿	蒍
蘷	虁
虁	蘷
蛻	蜕
蜕	蛻
訮	詽
詽	訮
說	説
説	說
謠	謡
謡	謠
豜	豣
豣	豜
跥	跺
跺	跥
躗	躛
躛	躗
軿	輧
輧	軿
逸	𨓜
郎	郞
郞	郎
郷	鄉 鄕
鄉	郷 鄕
鄕	郷 鄉
銳	鋭
鋭	銳
鎭	鎮
鎮	鎭
鑙	𨮺
隆	𨺓
隷	隸
隸	隷
黑	黒
黒	黑
𠮟	叱
𡉟	壯
𡠌	媲
𢖽	志
𢗿	怽
𢫮	𢬎
𢬎	𢫮
𣟃	𬄺
𣢧	䶾
𤽜	皌
𥑘	砞
𥘯	祙
𥡴	稽
𥶉	籑
𦰥	𱽨
𨓜	逸
𨮺	鑙
𨺓	隆
𩿣	𩿲
𩿲	𩿣
𬄺	𣟃
𬻋	𱽌
𱽌	𬻋
𱽨	𦰥
